"""Longitude (x)","""""Latitude (y)""""","""""Station Name""""","""""Climate ID""""","""""Date/Time""""","""""Year""""","""""Month""""","""""Day""""","""""Time""""","""""Temp (°C)""""","""""Temp Flag""""","""""Dew Point Temp (°C)""""","""""Dew Point Temp Flag""""","""""Rel Hum (%)""""","""""Rel Hum Flag""""","""""Wind Dir (10s deg)""""","""""Wind Dir Flag""""","""""Wind Spd (km/h)""""","""""Wind Spd Flag""""","""""Visibility (km)""""","""""Visibility Flag""""","""""Stn Press (kPa)""""","""""Stn Press Flag""""","""""Hmdx""""","""""Hmdx Flag""""","""""Wind Chill""""","""""Wind Chill Flag""""","""""Weather"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 15:00""""","""""2015""""","""""01""""","""""01""""","""""15:00""""","""""-3.0""""","""""""""","""""-11.2""""","""""""""","""""53""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.58""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 16:00""""","""""2015""""","""""01""""","""""01""""","""""16:00""""","""""-2.8""""","""""""""","""""-10.9""""","""""""""","""""54""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.60""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 17:00""""","""""2015""""","""""01""""","""""01""""","""""17:00""""","""""-2.7""""","""""""""","""""-11.2""""","""""""""","""""52""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.66""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 18:00""""","""""2015""""","""""01""""","""""01""""","""""18:00""""","""""-2.4""""","""""""""","""""-11.2""""","""""""""","""""51""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.68""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 19:00""""","""""2015""""","""""01""""","""""01""""","""""19:00""""","""""-2.0""""","""""""""","""""-10.5""""","""""""""","""""52""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.73""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 20:00""""","""""2015""""","""""01""""","""""01""""","""""20:00""""","""""-1.6""""","""""""""","""""-10.3""""","""""""""","""""52""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.81""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 21:00""""","""""2015""""","""""01""""","""""01""""","""""21:00""""","""""-1.3""""","""""""""","""""-9.5""""","""""""""","""""54""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.87""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 22:00""""","""""2015""""","""""01""""","""""01""""","""""22:00""""","""""-1.2""""","""""""""","""""-8.5""""","""""""""","""""57""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.90""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 23:00""""","""""2015""""","""""01""""","""""01""""","""""23:00""""","""""-1.0""""","""""""""","""""-7.4""""","""""""""","""""62""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.97""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 00:00""""","""""2015""""","""""01""""","""""02""""","""""00:00""""","""""-1.0""""","""""""""","""""-6.7""""","""""""""","""""65""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.00""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
